State,Average_Income
AL,69842
AK,98606
AZ,80779
AR,66557
CA,106916
CO,96970
CT,113031
DE,90092
FL,80286
GA,82406
HI,103780
ID,73810
IL,92395
IN,75025
IA,78411
KS,80009
KY,70144
LA,71001
ME,76227
MD,111417
MA,111498
MI,78400
MN,93925
MS,62835
MO,76060
MT,74190
NE,80208
NV,81496
NH,99165
NJ,114691
NM,69077
NY,101945
NC,76940
ND,85476
OH,76958
OK,72695
OR,84258
PA,84849
RI,89093
SC,73520
SD,76240
TN,74750
TX,87260
UT,91292
VT,81233
VA,101746
WA,98983
WV,63680
WI,80674
WY,81880
US, 84854
